topic,claim,evidence_text,evidence_type,stance,claim_evidence_overlap,generator_input,generator_target
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"biological theories of aggression and violence have specifically excluded video game and other media effects. For instance the Catalyst Model proposed by Ferguson and Beaver specifically exclude media violence as a contributor to violence, arguing research evidence for such effects have been weak, and media violence is too distal a factor to have much influence",nan,support,0.1042,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: biological theories of aggression and violence have specifically excluded video game and other media effects. For instance the Catalyst Model proposed by Ferguson and Beaver specifically exclude media violence as a contributor to violence, arguing research evidence for such effects have been weak, and media violence is too distal a factor to have much influence Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"other studies have explicitly denied that such a connection exists, most notably Anderson and Ford (1986), Winkel et al. (1987), Scott (1995), Ballard and Lineberger (1999), and Jonathan Freedman (2002) [REF",nan,oppose,0.0,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: other studies have explicitly denied that such a connection exists, most notably Anderson and Ford (1986), Winkel et al. (1987), Scott (1995), Ballard and Lineberger (1999), and Jonathan Freedman (2002) [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Other meta-analyses by other groups, such as by Ferguson and Kilburn (2009) and Sherry (2007) have repudiated any links between video game violence and aggression, as have recent reviews by the Australian Government (2010) and the US Supreme Court (June, 2011","[STUDY, EXPERT]",oppose,0.0698,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Other meta-analyses by other groups, such as by Ferguson and Kilburn (2009) and Sherry (2007) have repudiated any links between video game violence and aggression, as have recent reviews by the Australian Government (2010) and the US Supreme Court (June, 2011 Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"After conducting a two-year study of more than 1,200 Middle School children about their attitudes towards video games, Harvard Medical School researchers Lawrence Kutner and Cheryl Olson found that playing video games did not have a particularly negative effect on the researched group [REF","[STUDY, EXPERT]",oppose,0.0377,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: After conducting a two-year study of more than 1,200 Middle School children about their attitudes towards video games, Harvard Medical School researchers Lawrence Kutner and Cheryl Olson found that playing video games did not have a particularly negative effect on the researched group [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Ferguson adds that present research on violence in video games confirms no valid link, ""The best studies now coming out - those which take care to use well-validated clinical outcome measures and which carefully control for other important risk factors - provide no support for the belief that VVG contributes to youth violence""[REF","[STUDY, EXPERT]",oppose,0.0727,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Ferguson adds that present research on violence in video games confirms no valid link, ""The best studies now coming out - those which take care to use well-validated clinical outcome measures and which carefully control for other important risk factors - provide no support for the belief that VVG contributes to youth violence""[REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"the Court determined that there was no direct link between violent video games and their influence on children, in as much as compared to other types of media like television and pictures",nan,oppose,0.075,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: the Court determined that there was no direct link between violent video games and their influence on children, in as much as compared to other types of media like television and pictures Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Many authors disagree with the notion that suggests that the media can cause violence, they propose media cannot cause violence because humans have the ability to recognize what is wrong, and what is right. They suggest people are not going to mistake fiction for reality. Some people who criticize the proposed negative effects based their research are Terry Flew, Sal Humphreys, Martin Barker and Jonathan Freedman. [REF",nan,oppose,0.0645,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Many authors disagree with the notion that suggests that the media can cause violence, they propose media cannot cause violence because humans have the ability to recognize what is wrong, and what is right. They suggest people are not going to mistake fiction for reality. Some people who criticize the proposed negative effects based their research are Terry Flew, Sal Humphreys, Martin Barker and Jonathan Freedman. [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,some violent video games may actually have a prosocial effect in some contexts,"Recent research has suggested that some violent video games may actually have a prosocial effect in some contexts, for example, team play [REF",nan,support,0.5455,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Recent research has suggested that some violent video games may actually have a prosocial effect in some contexts, for example, team play [REF Generate an argument.",some violent video games may actually have a prosocial effect in some contexts
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,A 2001 study found that exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world. A decrease in prosocial behavior (caring about the welfare and rights of others) was also noted [REF,nan,support,0.25,Topic: This house believes that the sale of violent video games to minors should be banned Evidence: A 2001 study found that exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world. A decrease in prosocial behavior (caring about the welfare and rights of others) was also noted [REF Generate an argument.,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"The most recent large scale meta-anlysis-- examining 130 studies with over 130,000 subjects worldwide-- concluded that exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior",nan,support,0.5143,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: The most recent large scale meta-anlysis-- examining 130 studies with over 130,000 subjects worldwide-- concluded that exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"One study did find an increase in reports of bullying, noting, ""Our research found that certain patterns of video game play were much more likely to be associated with these types of behavioral problems",nan,oppose,0.0638,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: One study did find an increase in reports of bullying, noting, ""Our research found that certain patterns of video game play were much more likely to be associated with these types of behavioral problems Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"when one combines all relevant empirical studies using meta-analytic techniques it shows that violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior.""[REF",nan,support,0.1064,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: when one combines all relevant empirical studies using meta-analytic techniques it shows that violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior.""[REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"Research published in 2001 suggested that violent video games may increase mild forms of aggressive behavior in children and young adults. Analyses also showed that exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior. The research comprised a meta analysis, laboratory and field studies [REF",nan,support,0.1852,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Research published in 2001 suggested that violent video games may increase mild forms of aggressive behavior in children and young adults. Analyses also showed that exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior. The research comprised a meta analysis, laboratory and field studies [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In 2004 the American Psychological Association summarized the issue as ""Psychological research confirms that violent video games can increase children's aggression","[STUDY, EXPERT]",support,0.1562,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In 2004 the American Psychological Association summarized the issue as ""Psychological research confirms that violent video games can increase children's aggression Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"Craig Anderson has conducted meta-analysis of previous studies and claimed they have demonstrated five effects: ""increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior"" [REF","[STUDY, EXPERT]",oppose,0.0455,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Craig Anderson has conducted meta-analysis of previous studies and claimed they have demonstrated five effects: ""increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior"" [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On November 22, 1997, thirteen-year-old Noah Wilson died when his friend Yancy stabbed him in the chest with a kitchen knife. The mother of Noah, Andrea Wilson, alleged that her son was stabbed to death because of an obsession with the Midway game Mortal Kombat",nan,oppose,0.0357,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On November 22, 1997, thirteen-year-old Noah Wilson died when his friend Yancy stabbed him in the chest with a kitchen knife. The mother of Noah, Andrea Wilson, alleged that her son was stabbed to death because of an obsession with the Midway game Mortal Kombat Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On April 20, 1999, 18-year-old Eric Harris and 17-year-old Dylan Klebold killed 12 students and a teacher in the Columbine High School massacre. The two were allegedly obsessed with the video game Doom",nan,oppose,0.0638,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On April 20, 1999, 18-year-old Eric Harris and 17-year-old Dylan Klebold killed 12 students and a teacher in the Columbine High School massacre. The two were allegedly obsessed with the video game Doom Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In April 2000, 16-year-old Spanish teenager José Rabadán Pardo murdered his father, mother and his sister with a katana, proclaiming that he was on an ""avenging mission"" by Squall Leonhart, the main character of the video game Final Fantasy VIII [REF",nan,oppose,0.0526,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In April 2000, 16-year-old Spanish teenager José Rabadán Pardo murdered his father, mother and his sister with a katana, proclaiming that he was on an ""avenging mission"" by Squall Leonhart, the main character of the video game Final Fantasy VIII [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In February 2003, 16-year-old American Dustin Lynch was charged with aggravated murder and made an insanity defense that he was ""obsessed"" with Grand Theft Auto III. Long time video game opponent and former attorney Jack Thompson encouraged the father of victim JoLynn Mishne to pass a note to the judge that said ""the attorneys had better tell the jury about the violent video game that trained this kid [and] showed him how to kill our daughter, JoLynn. If they don't, I will.""[REF",nan,oppose,0.0732,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In February 2003, 16-year-old American Dustin Lynch was charged with aggravated murder and made an insanity defense that he was ""obsessed"" with Grand Theft Auto III. Long time video game opponent and former attorney Jack Thompson encouraged the father of victim JoLynn Mishne to pass a note to the judge that said ""the attorneys had better tell the jury about the violent video game that trained this kid [and] showed him how to kill our daughter, JoLynn. If they don't, I will.""[REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On June 7, 2003, 18-year-old American Devin Moore shot and killed two policemen and a dispatcher after grabbing one of the officers' weapons following an arrest for the possession of a stolen vehicle. At trial, the defense claimed that Moore had been inspired by the video game Grand Theft Auto: Vice City [REF",nan,oppose,0.0312,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On June 7, 2003, 18-year-old American Devin Moore shot and killed two policemen and a dispatcher after grabbing one of the officers' weapons following an arrest for the possession of a stolen vehicle. At trial, the defense claimed that Moore had been inspired by the video game Grand Theft Auto: Vice City [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On June 25, 2003, two American step brothers, Joshua and William Buckner, aged 14 and 16, respectively, used a rifle to fire at vehicles on Interstate 40 in Tennessee, killing a 45-year-old man and wounding a 19-year-old woman. The two shooters told investigators they had been inspired by Grand Theft Auto III [REF",nan,oppose,0.0469,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On June 25, 2003, two American step brothers, Joshua and William Buckner, aged 14 and 16, respectively, used a rifle to fire at vehicles on Interstate 40 in Tennessee, killing a 45-year-old man and wounding a 19-year-old woman. The two shooters told investigators they had been inspired by Grand Theft Auto III [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In October 2004, a 41-year-old Chinese man named Qiu Chengwei stabbed 26-year-old Zhu Caoyuan to death over a dispute regarding the sale of a virtual weapon the two had jointly won in the game The Legend of Mir 3 [REF",nan,oppose,0.0392,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In October 2004, a 41-year-old Chinese man named Qiu Chengwei stabbed 26-year-old Zhu Caoyuan to death over a dispute regarding the sale of a virtual weapon the two had jointly won in the game The Legend of Mir 3 [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In June 2007, 22-year-old Alejandro Garcia from Texas shot dead his cousin after arguing over whose turn it was to play the game Scarface: The World Is Yours. He pleaded guilty for murder at his trial on April 6, 2011, and will serve 15 to 30 years in prison [REF",nan,oppose,0.0476,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In June 2007, 22-year-old Alejandro Garcia from Texas shot dead his cousin after arguing over whose turn it was to play the game Scarface: The World Is Yours. He pleaded guilty for murder at his trial on April 6, 2011, and will serve 15 to 30 years in prison [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In September 2007 in Ohio, 16-year-old Daniel Petric snuck out of his bedroom window to purchase the game Halo 3 against the orders of his father, a minister at New Life Assembly of God in Wellington, Ohio, U.S . His parents eventually banned him from the game after he spent up to 18 hours a day with it, and secured it in a lockbox in a closet where the father also kept a 9mm handgun, according to prosecutors . In October 2007, Daniel used his father's key to open the lockbox and remove the gun and the game. He then entered the living room of his house and shot both of them in the head, killing his mother and wounding his father. Petric is sentenced to life in prison without parole, which was later commuted to 23 years in imprisonment . Defense attorneys argued that Petric was influenced by video game addiction, the court dismissed these claims. The judge, James Burge commented that while he thought there was ample evidence the boy knew what he was doing, Burge thought the game had affected him like a drug, saying ""I firmly believe that Daniel Petric had no idea at the time he hatched this plot that if he killed his parents they would be dead forever.""[REF",nan,oppose,0.0333,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In September 2007 in Ohio, 16-year-old Daniel Petric snuck out of his bedroom window to purchase the game Halo 3 against the orders of his father, a minister at New Life Assembly of God in Wellington, Ohio, U.S . His parents eventually banned him from the game after he spent up to 18 hours a day with it, and secured it in a lockbox in a closet where the father also kept a 9mm handgun, according to prosecutors . In October 2007, Daniel used his father's key to open the lockbox and remove the gun and the game. He then entered the living room of his house and shot both of them in the head, killing his mother and wounding his father. Petric is sentenced to life in prison without parole, which was later commuted to 23 years in imprisonment . Defense attorneys argued that Petric was influenced by video game addiction, the court dismissed these claims. The judge, James Burge commented that while he thought there was ample evidence the boy knew what he was doing, Burge thought the game had affected him like a drug, saying ""I firmly believe that Daniel Petric had no idea at the time he hatched this plot that if he killed his parents they would be dead forever.""[REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In December 2007, 17-year-old Lamar Roberts and 16-year-old Heather Trujillo were accused of beating a seven-year-old girl to death. They are said to have been imitating the moves taken from the game ""Mortal Kombat"" [REF",nan,oppose,0.06,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In December 2007, 17-year-old Lamar Roberts and 16-year-old Heather Trujillo were accused of beating a seven-year-old girl to death. They are said to have been imitating the moves taken from the game ""Mortal Kombat"" [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In December 2007, a Russian man was beaten to death over an argument in the MMORPG Lineage II. The man was killed when his guild and a rival one challenged each other to a real-life brawl [REF",nan,oppose,0.0652,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In December 2007, a Russian man was beaten to death over an argument in the MMORPG Lineage II. The man was killed when his guild and a rival one challenged each other to a real-life brawl [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In June 2008, four teens allegedly obsessed with Grand Theft Auto IV went on a crime spree after being in New Hyde Park, New York. They first robbed a man, knocking his teeth out and then they stopped a woman driving a black BMW and stole her car and her cigarettes [REF",nan,oppose,0.0339,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In June 2008, four teens allegedly obsessed with Grand Theft Auto IV went on a crime spree after being in New Hyde Park, New York. They first robbed a man, knocking his teeth out and then they stopped a woman driving a black BMW and stole her car and her cigarettes [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On August 2, 2008, Polwat Chinno, a 19-year-old Thai teenager, stabbed a Bangkok taxi driver to death during an attempt to steal the driver's cab in order to obtain money to buy a copy of Grand Theft Auto IV. A police official said that the teen was trying to copy a similar act in the game",nan,oppose,0.0323,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On August 2, 2008, Polwat Chinno, a 19-year-old Thai teenager, stabbed a Bangkok taxi driver to death during an attempt to steal the driver's cab in order to obtain money to buy a copy of Grand Theft Auto IV. A police official said that the teen was trying to copy a similar act in the game Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In January 2010, Gary Alcock punched, slapped and pinched his partner's 15-month-old daughter in the three weeks leading up to her death before he delivered a fatal blow to the stomach which tore her internal organs because she interrupted him playing his Xbox",nan,oppose,0.0545,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In January 2010, Gary Alcock punched, slapped and pinched his partner's 15-month-old daughter in the three weeks leading up to her death before he delivered a fatal blow to the stomach which tore her internal organs because she interrupted him playing his Xbox Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"In May 2010, French gamer Julien Barreaux located and stabbed a fellow player who had stabbed Barreaux on the game Counter-Strike. The judge at his trial called him ""a menace to society.""[REF",nan,oppose,0.0667,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In May 2010, French gamer Julien Barreaux located and stabbed a fellow player who had stabbed Barreaux on the game Counter-Strike. The judge at his trial called him ""a menace to society.""[REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On November 29, 2010 in South Philadelphia, Pennsylvania, 16-year-old boy Kendall Anderson bludgeoned his mother to death in her sleep with a claw hammer after she took away his PlayStation [REF",nan,oppose,0.0426,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On November 29, 2010 in South Philadelphia, Pennsylvania, 16-year-old boy Kendall Anderson bludgeoned his mother to death in her sleep with a claw hammer after she took away his PlayStation [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
This house believes that the sale of violent video games to minors should be banned,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,"On April 9, 2011 in Alphen Aan Den Rijn, The Netherlands, 24-year-old Tristan van der Vlis opened fire in a shopping mall, releasing more than a hundred bullets with a semi-automatic rifle and a handgun, killing 6 people and wounding 17 others, after which he also killed himself . A fair amount of attention was given to the fact that Van Der Vlis had been playing Call of Duty: Modern Warfare 2 and to the alleged similarities between the events in Alphen a/d Rijn and the controversial ""No Russian"" mission in the game (also known as the 'Airport Massacre') where the player can choose to (or choose not to) partake in the killing of a large group of innocent people inside an airport terminal [REF",nan,oppose,0.028,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: On April 9, 2011 in Alphen Aan Den Rijn, The Netherlands, 24-year-old Tristan van der Vlis opened fire in a shopping mall, releasing more than a hundred bullets with a semi-automatic rifle and a handgun, killing 6 people and wounding 17 others, after which he also killed himself . A fair amount of attention was given to the fact that Van Der Vlis had been playing Call of Duty: Modern Warfare 2 and to the alleged similarities between the events in Alphen a/d Rijn and the controversial ""No Russian"" mission in the game (also known as the 'Airport Massacre') where the player can choose to (or choose not to) partake in the killing of a large group of innocent people inside an airport terminal [REF Generate an argument.",exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
